gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1890666868	StillImage	image/jpeg	https://static.inaturalist.org/photos/18596072/original.jpg?1527323175	https://www.flickr.com/photos/74738817@N07/42359940391/			2018-05-19T22:39:35Z	Andreas Rockstein		iNaturalist			http://creativecommons.org/licenses/by-sa/4.0/	Andreas Rockstein
1890666868	StillImage	image/jpeg	https://static.inaturalist.org/photos/18596073/original.jpg?1527323177	https://www.flickr.com/photos/74738817@N07/27490164797/			2018-05-19T22:39:08Z	Andreas Rockstein		iNaturalist			http://creativecommons.org/licenses/by-sa/4.0/	Andreas Rockstein
1890666444	StillImage	image/jpeg	https://static.inaturalist.org/photos/18027080/original.jpeg?1526410569	https://www.inaturalist.org/photos/18027080			2018-05-12T21:44:02Z	Marco Schmidt		iNaturalist			http://creativecommons.org/licenses/by-nc-sa/4.0/	Marco Schmidt
1890665951	StillImage	image/jpeg	https://static.inaturalist.org/photos/17183705/original.jpeg?1525190796	https://www.inaturalist.org/photos/17183705			2018-04-30T18:25:05Z	Quentin Groom		iNaturalist			http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
1890665676	StillImage	image/jpeg	https://static.inaturalist.org/photos/16466521/original.jpeg?1524859955	https://www.inaturalist.org/photos/16466521			2018-04-26T20:43:59Z	Paul Braun		iNaturalist			http://creativecommons.org/licenses/by/4.0/	Paul Braun
1890665676	StillImage	image/jpeg	https://static.inaturalist.org/photos/16466577/original.jpeg?1524859972	https://www.inaturalist.org/photos/16466577			2018-04-26T20:44:21Z	Paul Braun		iNaturalist			http://creativecommons.org/licenses/by/4.0/	Paul Braun
1890665676	StillImage	image/jpeg	https://static.inaturalist.org/photos/16466601/original.jpeg?1524859983	https://www.inaturalist.org/photos/16466601			2018-04-26T20:44:11Z	Paul Braun		iNaturalist			http://creativecommons.org/licenses/by/4.0/	Paul Braun
1890665589	StillImage	image/jpeg	https://static.inaturalist.org/photos/16298094/original.jpeg?1524683902	https://www.inaturalist.org/photos/16298094			2018-04-26T00:22:11Z	Katrin		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Katrin
1890665589	StillImage	image/jpeg	https://static.inaturalist.org/photos/16298102/original.jpeg?1524683910	https://www.inaturalist.org/photos/16298102			2018-04-26T00:22:14Z	Katrin		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Katrin
1890665123	StillImage	image/jpeg	https://static.inaturalist.org/photos/15304925/original.jpeg?1523695300	https://www.inaturalist.org/photos/15304925			2018-04-13T21:01:33Z	sasabiene		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	sasabiene
