gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1457606094	StillImage	image/jpeg	https://static.inaturalist.org/photos/6868078/original.jpg?1491272968	https://www.inaturalist.org/photos/6868078			2017-04-02T21:25:13Z	Ruta		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Ruta
1457595435	StillImage	image/jpeg	https://static.inaturalist.org/photos/6827684/original.jpeg?1491087616	https://www.inaturalist.org/photos/6827684			2017-03-30T17:26:19Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
1457589618	StillImage	image/jpeg	https://static.inaturalist.org/photos/6805069/original.jpeg?1490966909	https://www.inaturalist.org/photos/6805069			2017-03-29T16:04:11Z	Sara Rall		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
1457588795	StillImage	image/jpeg	https://static.inaturalist.org/photos/6796165/original.jpeg?1490911666	https://www.inaturalist.org/photos/6796165			2017-03-31T17:56:17Z	Nathan Odgers		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Nathan Odgers
1457588795	StillImage	image/jpeg	https://static.inaturalist.org/photos/6796168/original.jpeg?1490911675	https://www.inaturalist.org/photos/6796168			2017-03-31T17:56:23Z	Nathan Odgers		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Nathan Odgers
1457588795	StillImage	image/jpeg	https://static.inaturalist.org/photos/6796172/original.jpeg?1490911687	https://www.inaturalist.org/photos/6796172			2017-03-31T17:56:42Z	Nathan Odgers		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Nathan Odgers
1457588795	StillImage	image/jpeg	https://static.inaturalist.org/photos/6796178/original.jpeg?1490911704	https://www.inaturalist.org/photos/6796178			2017-03-31T17:56:32Z	Nathan Odgers		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Nathan Odgers
1457588213	StillImage	image/jpeg	https://static.inaturalist.org/photos/6779705/original.jpg?1490812797	https://www.inaturalist.org/photos/6779705			2017-03-24T19:14:39Z	johnsef13		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	johnsef13
1457588213	StillImage	image/jpeg	https://static.inaturalist.org/photos/6779708/original.jpg?1490812810	https://www.inaturalist.org/photos/6779708			2017-03-24T19:14:39Z	johnsef13		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	johnsef13
1457583190	StillImage	image/jpeg	https://static.inaturalist.org/photos/5280424/original.jpeg?1476952356	https://inaturalist.nz/photos/5280424			2016-10-20T17:16:35Z	War Weeds		iNaturalist			http://creativecommons.org/licenses/by/4.0/	War Weeds
